income,debt_ratio,missed_payments,credit_history_months,label
68673.78,0.0997,0,109,1
37496.66,0.2272,1,192,1
83927.03,0.117,2,151,0
91423.16,0.2702,1,56,1
24885.34,0.1231,1,65,0
33323.54,0.2034,1,74,1
63419.6,0.2804,1,163,1
51932.02,0.1123,1,50,1
59423.17,0.0629,0,13,1
40787.47,0.5621,0,157,0
88941.05,0.2014,0,299,1
84965.99,0.3371,0,113,1
61679.93,0.491,0,72,0
99434.91,0.6094,0,272,1
73893.43,0.0994,0,48,1
40672.94,0.4366,0,104,0
70681.41,0.6227,0,120,0
38890.4,0.5558,3,92,0
88903.13,0.1359,0,53,1
58543.97,0.3471,0,73,1
55094.87,0.5622,0,263,1
44072.08,0.4713,1,101,0
103791.94,0.2535,0,133,1
55852.06,0.3399,1,110,0
49377.62,0.5263,1,57,0
51100.01,0.5278,0,54,1
76079.88,0.4437,2,74,0
70576.31,0.1841,0,75,1
72094.26,0.5089,0,184,1
72683.48,0.1079,0,141,1
156959.24,0.0603,0,106,1
49866.93,0.2401,0,156,1
47547.8,0.1192,2,32,0
41514.68,0.4444,0,204,1
78999.02,0.4213,1,28,0
99512.4,0.384,1,81,1
56881.4,0.1146,0,39,1
41024.7,0.2536,0,97,1
41315.11,0.1913,0,17,1
80239.14,0.2176,2,51,0
83655.66,0.1474,0,142,1
76452.08,0.1708,0,90,1
44378.95,0.5837,1,48,0
66467.78,0.3756,0,10,0
63102.05,0.3724,1,146,1
66066.02,0.1908,2,169,1
88622.67,0.4145,0,111,1
66212.07,0.6773,1,42,0
81268.28,0.1006,0,74,1
61722.92,0.3822,2,58,0
68193.45,0.5477,1,297,1
79545.12,0.246,1,53,1
31078.76,0.4894,1,76,0
51851.96,0.6721,0,91,0
48452.17,0.4361,2,310,0
44914.01,0.6556,0,127,0
52901.45,0.2319,0,54,1
117327.4,0.2958,3,111,0
40553.44,0.1173,2,66,0
92570.45,0.2903,0,37,1
28077.07,0.1664,1,128,0
51498.18,0.4825,0,112,1
64423.83,0.199,1,27,0
77948.22,0.4576,0,98,1
82458.63,0.4452,3,91,0
85562.83,0.0872,2,136,0
51178.44,0.296,1,154,0
48627.36,0.1277,0,68,1
88087.78,0.5161,2,86,0
54935.39,0.2645,0,39,1
33723.19,0.2267,0,58,0
35954.9,0.6366,0,167,0
39586.62,0.2425,0,51,0
74886.01,0.3733,0,73,1
63837.21,0.4578,0,29,0
81692.58,0.231,0,118,1
49401.51,0.5307,2,96,0
64301.8,0.4,1,182,0
79341.43,0.4817,0,60,1
52093.43,0.3573,1,64,0
73537.36,0.111,2,114,0
44450.58,0.446,1,69,1
50849.51,0.332,0,135,1
50423.77,0.316,1,111,1
34956.94,0.0773,1,105,0
74543.46,0.3245,0,108,1
48473.33,0.2763,1,39,0
60211.72,0.1968,0,16,1
74334.91,0.273,0,68,1
73199.15,0.4474,2,96,0
80775.04,0.4543,0,168,1
57278.55,0.1173,1,115,1
49489.5,0.321,1,56,0
57764.33,0.4757,0,145,0
28020.72,0.7009,0,67,0
31219.54,0.2378,0,101,0
33017.24,0.3829,0,218,1
38224.77,0.1242,0,251,1
71675.08,0.4306,0,274,1
39836.32,0.5425,0,67,0
50504.96,0.5315,0,87,0
107436.23,0.506,0,79,1
51005.12,0.3368,0,81,1
83439.91,0.3232,0,95,0
39335.08,0.4018,0,45,0
54587.11,0.5105,1,114,0
39045.78,0.435,4,112,0
51402.14,0.662,0,67,0
